member_name_original,member_name_normalized,member_name_display,party,matched,match_type,confidence,matched_candidate_name_original,matched_candidate_name_normalized,matched_candidate_name_display,election_year,election_file,notes
"Waters, Maxine",maxine waters,Maxine Waters,Democratic,yes,exact,100,Maxine Waters,maxine waters,Maxine Waters,1992,congressional_elections_1992.csv,
"Frost, Maxwell",maxwell frost,Maxwell Frost,Democratic,yes,exact,100,Maxwell Frost,maxwell frost,Maxwell Frost,2022,congressional_elections_2022.csv,
"Flores, Mayra",mayra flores,Mayra Flores,Republican,yes,exact,100,Mayra Flores,mayra flores,Mayra Flores,2022,congressional_elections_2022.csv,
"Cook, Merrill",merrill cook,Merrill Cook,Republican,yes,exact,100,Merrill Cook,merrill cook,Merrill Cook,1994,congressional_elections_1994.csv,
"Andrews, Michael",michael andrews,Michael Andrews,Democratic,yes,exact,100,Michael Andrews,michael andrews,Michael Andrews,1992,congressional_elections_1992.csv,
"Baumgartner, Michael",michael baumgartner,Michael Baumgartner,Republican,yes,exact,100,Michael Baumgartner,michael baumgartner,Michael Baumgartner,2012,congressional_elections_2012.csv,
"Bilirakis, Michael",michael bilirakis,Michael Bilirakis,Republican,yes,exact,100,Michael Bilirakis,michael bilirakis,Michael Bilirakis,1992,congressional_elections_1992.csv,
"Cloud, Michael",michael cloud,Michael Cloud,Republican,yes,exact,100,Michael Cloud,michael cloud,Michael Cloud,1998,congressional_elections_1998.csv,
"Guest, Michael",michael guest,Michael Guest,Republican,yes,exact,100,Michael Guest,michael guest,Michael Guest,2018,congressional_elections_2018.csv,
"Huffington, Michael",michael huffington,Michael Huffington,Republican,yes,exact,100,Michael Huffington,michael huffington,Michael Huffington,1992,congressional_elections_1992.csv,
"Pappas, Michael",michael pappas,Michael Pappas,Republican,yes,exact,100,Michael Pappas,michael pappas,Michael Pappas,1996,congressional_elections_1996.csv,
"Flanagan, Michael Patrick",michael patrick flanagan,Michael Patrick Flanagan,Republican,yes,exact,100,Michael Patrick Flanagan,michael patrick flanagan,Michael Patrick Flanagan,1994,congressional_elections_1994.csv,
"Bachmann, Michele",michele bachmann,Michele Bachmann,Republican,yes,exact,100,Michele Bachmann,michele bachmann,Michele Bachmann,2006,congressional_elections_2006.csv,
"Fischbach, Michelle",michelle fischbach,Michelle Fischbach,Republican,yes,exact,100,Michelle Fischbach,michelle fischbach,Michelle Fischbach,2020,congressional_elections_2020.csv,
"Lujan Grisham, Michelle",michelle lujan grisham,Michelle Lujan Grisham,Democratic,yes,exact,100,Michelle Lujan Grisham,michelle lujan grisham,Michelle Lujan Grisham,2012,congressional_elections_2012.csv,
"Steel, Michelle",michelle steel,Michelle Steel,Republican,yes,exact,100,Michelle Steel,michelle steel,Michelle Steel,2020,congressional_elections_2020.csv,
"Mulvaney, Mick",mick mulvaney,Mick Mulvaney,Republican,yes,exact,100,Mick Mulvaney,mick mulvaney,Mick Mulvaney,2010,congressional_elections_2010.csv,
"Bishop, Mike",mike bishop,Mike Bishop,Republican,yes,exact,100,Mike Bishop,mike bishop,Mike Bishop,2014,congressional_elections_2014.csv,
"Bost, Mike",mike bost,Mike Bost,Republican,yes,exact,100,Mike Bost,mike bost,Mike Bost,2014,congressional_elections_2014.csv,
"Braun, Mike",mike braun,Mike Braun,Republican,yes,exact,100,Mike Braun,mike braun,Mike Braun,2018,congressional_elections_2018.csv,
"Carey, Mike",mike carey,Mike Carey,Republican,yes,exact,100,Mike Carey,mike carey,Mike Carey,2021,congressional_elections_2021.csv,
"Collins, Mike",mike collins,Mike Collins,Republican,yes,exact,100,Mike Collins,mike collins,Mike Collins,2022,congressional_elections_2022.csv,
"Crapo, Mike",mike crapo,Mike Crapo,Republican,yes,exact,100,Mike Crapo,mike crapo,Mike Crapo,1992,congressional_elections_1992.csv,
"Crapo, Mike",mike crapo,Mike Crapo,Republican,yes,exact,100,Mike Crapo,mike crapo,Mike Crapo,1992,congressional_elections_1992.csv,
"DeWine, Mike",mike dewine,Mike Dewine,Republican,yes,exact,100,Mike DeWine,mike dewine,Mike Dewine,1992,congressional_elections_1992.csv,
"DeWine, Mike",mike dewine,Mike Dewine,Republican,yes,exact,100,Mike DeWine,mike dewine,Mike Dewine,1992,congressional_elections_1992.csv,
"Espy, Mike",mike espy,Mike Espy,Democratic,yes,exact,100,Mike Espy,mike espy,Mike Espy,1992,congressional_elections_1992.csv,
"Ezell, Mike",mike ezell,Mike Ezell,Republican,yes,exact,100,Mike Ezell,mike ezell,Mike Ezell,2022,congressional_elections_2022.csv,
"Flood, Mike",mike flood,Mike Flood,Republican,yes,exact,100,Mike Flood,mike flood,Mike Flood,2022,congressional_elections_2022.csv,
"Gallagher, Mike",mike gallagher,Mike Gallagher,Republican,yes,exact,100,Mike Gallagher,mike gallagher,Mike Gallagher,2016,congressional_elections_2016.csv,
"Garcia, Mike",mike garcia,Mike Garcia,Republican,yes,exact,100,Mike Garcia,mike garcia,Mike Garcia,2020,congressional_elections_2020.csv,
"Haridopolos, Mike",mike haridopolos,Mike Haridopolos,Republican,yes,exact,100,Mike Haridopolos,mike haridopolos,Mike Haridopolos,2024,congressional_elections_2024.csv,
"Johanns, Mike",mike johanns,Mike Johanns,Republican,yes,exact,100,Mike Johanns,mike johanns,Mike Johanns,2008,congressional_elections_2008.csv,
"Johnson, Mike",mike johnson,Mike Johnson,Republican,yes,exact,100,Mike Johnson,mike johnson,Mike Johnson,2016,congressional_elections_2016.csv,
"Kelly, Mike",mike kelly,Mike Kelly,Republican,yes,exact,100,"Mike Kelly, Jr.",mike kelly,Mike Kelly,2010,congressional_elections_2010.csv,
"Kennedy, Mike",mike kennedy,Mike Kennedy,Republican,yes,exact,100,Mike Kennedy,mike kennedy,Mike Kennedy,2024,congressional_elections_2024.csv,
"Kopetski, Mike",mike kopetski,Mike Kopetski,Democratic,yes,exact,100,Mike Kopetski,mike kopetski,Mike Kopetski,1992,congressional_elections_1992.csv,
"Kreidler, Mike",mike kreidler,Mike Kreidler,Democratic,yes,exact,100,Mike Kreidler,mike kreidler,Mike Kreidler,1992,congressional_elections_1992.csv,
"Lee, Mike",mike lee,Mike Lee,Republican,yes,exact,100,Mike Lee,mike lee,Mike Lee,2010,congressional_elections_2010.csv,
"Levin, Mike",mike levin,Mike Levin,Democratic,yes,exact,100,Mike Levin,mike levin,Mike Levin,2018,congressional_elections_2018.csv,
"McIntyre, Mike",mike mcintyre,Mike Mcintyre,Democratic,yes,exact,100,Mike McIntyre,mike mcintyre,Mike Mcintyre,1996,congressional_elections_1996.csv,
"Parker, Mike",mike parker,Mike Parker,Republican,yes,exact,100,Mike Parker,mike parker,Mike Parker,1992,congressional_elections_1992.csv,
"Pence, Mike",mike pence,Mike Pence,Republican,yes,exact,100,Mike Pence,mike pence,Mike Pence,2000,congressional_elections_2000.csv,
"Pompeo, Mike",mike pompeo,Mike Pompeo,Republican,yes,exact,100,Mike Pompeo,mike pompeo,Mike Pompeo,2010,congressional_elections_2010.csv,
"Quigley, Mike",mike quigley,Mike Quigley,Democratic,yes,exact,100,Mike Quigley,mike quigley,Mike Quigley,2009,congressional_elections_2009.csv,
"Ross, Mike",mike ross,Mike Ross,Democratic,yes,exact,100,Mike Ross,mike ross,Mike Ross,2000,congressional_elections_2000.csv,
"Rounds, Mike",mike rounds,Mike Rounds,Republican,yes,exact,100,Mike Rounds,mike rounds,Mike Rounds,2014,congressional_elections_2014.csv,
"Synar, Mike",mike synar,Mike Synar,Democratic,yes,exact,100,Mike Synar,mike synar,Mike Synar,1992,congressional_elections_1992.csv,
"Thompson, Mike",mike thompson,Mike Thompson,Democratic,yes,exact,100,Mike Thompson,mike thompson,Mike Thompson,1998,congressional_elections_1998.csv,
"Sherrill, Mikie",mikie sherrill,Mikie Sherrill,Democratic,yes,exact,100,Mikie Sherrill,mikie sherrill,Mikie Sherrill,2018,congressional_elections_2018.csv,
"Walters, Mimi",mimi walters,Mimi Walters,Republican,yes,exact,100,Mimi Walters,mimi walters,Mimi Walters,2014,congressional_elections_2014.csv,
"McConnell, Mitch",mitch mcconnell,Mitch Mcconnell,Republican,yes,exact,100,"Mitch McConnell, Jr.",mitch mcconnell,Mitch Mcconnell,1996,congressional_elections_1996.csv,
"Romney, Mitt",mitt romney,Mitt Romney,Republican,yes,exact,100,Mitt Romney,mitt romney,Mitt Romney,1994,congressional_elections_1994.csv,
"Brooks, Mo",mo brooks,Mo Brooks,Republican,yes,exact,100,Mo Brooks,mo brooks,Mo Brooks,2010,congressional_elections_2010.csv,
"Jones, Mondaire",mondaire jones,Mondaire Jones,Democratic,yes,exact,100,Mondaire Jones,mondaire jones,Mondaire Jones,2020,congressional_elections_2020.csv,
"De La Cruz, Monica",monica de la cruz,Monica De La Cruz,Republican,yes,exact,100,Monica De La Cruz,monica de la cruz,Monica De La Cruz,2020,congressional_elections_2020.csv,
"Luttrell, Morgan",morgan luttrell,Morgan Luttrell,Republican,yes,exact,100,Morgan Luttrell,morgan luttrell,Morgan Luttrell,2022,congressional_elections_2022.csv,
"McGarvey, Morgan",morgan mcgarvey,Morgan Mcgarvey,Democratic,yes,exact,100,Morgan McGarvey,morgan mcgarvey,Morgan Mcgarvey,2022,congressional_elections_2022.csv,
"Mace, Nancy",nancy mace,Nancy Mace,Republican,yes,exact,100,Nancy Mace,nancy mace,Nancy Mace,2020,congressional_elections_2020.csv,
"Pelosi, Nancy",nancy pelosi,Nancy Pelosi,Democratic,yes,exact,100,Nancy Pelosi,nancy pelosi,Nancy Pelosi,1992,congressional_elections_1992.csv,
"Deal, Nathan",nathan deal,Nathan Deal,Republican,yes,exact,100,Nathan Deal,nathan deal,Nathan Deal,1992,congressional_elections_1992.csv,
"Moran, Nathaniel",nathaniel moran,Nathaniel Moran,Republican,yes,exact,100,Nathaniel Moran,nathaniel moran,Nathaniel Moran,2022,congressional_elections_2022.csv,
"Abercrombie, Neil",neil abercrombie,Neil Abercrombie,Democratic,yes,exact,100,Neil Abercrombie,neil abercrombie,Neil Abercrombie,1992,congressional_elections_1992.csv,
"Abercrombie, Neil",neil abercrombie,Neil Abercrombie,Democratic,yes,exact,100,Neil Abercrombie,neil abercrombie,Neil Abercrombie,1992,congressional_elections_1992.csv,
"Gingrich, Newt",newt gingrich,Newt Gingrich,Republican,yes,exact,100,Newt Gingrich,newt gingrich,Newt Gingrich,1992,congressional_elections_1992.csv,
"Mavroules, Nicholas",nicholas mavroules,Nicholas Mavroules,Democratic,yes,exact,100,Nicholas Mavroules,nicholas mavroules,Nicholas Mavroules,1992,congressional_elections_1992.csv,
"Smith, Nick",nick smith,Nick Smith,Republican,yes,exact,100,Nick Smith,nick smith,Nick Smith,1992,congressional_elections_1992.csv,
"Malliotakis, Nicole",nicole malliotakis,Nicole Malliotakis,Republican,yes,exact,100,Nicole Malliotakis,nicole malliotakis,Nicole Malliotakis,2020,congressional_elections_2020.csv,
"Williams, Nikema",nikema williams,Nikema Williams,Democratic,yes,exact,100,Nikema Williams,nikema williams,Nikema Williams,2020,congressional_elections_2020.csv,
"Tsongas, Niki",niki tsongas,Niki Tsongas,Democratic,yes,exact,100,Niki Tsongas,niki tsongas,Niki Tsongas,2007,congressional_elections_2007.csv,
"Budzinski, Nikki",nikki budzinski,Nikki Budzinski,Democratic,yes,exact,100,Nikki Budzinski,nikki budzinski,Nikki Budzinski,2022,congressional_elections_2022.csv,
"Coleman, Norm",norm coleman,Norm Coleman,Republican,yes,exact,100,Norm Coleman,norm coleman,Norm Coleman,2002,congressional_elections_2002.csv,
"Sisisky, Norman",norman sisisky,Norman Sisisky,Democratic,yes,exact,100,Norman Sisisky,norman sisisky,Norman Sisisky,1992,congressional_elections_1992.csv,
"Griffith, Parker",parker griffith,Parker Griffith,Republican,yes,exact,100,"Parker Griffith, Jr.",parker griffith,Parker Griffith,2008,congressional_elections_2008.csv,
"Fallon, Pat",pat fallon,Pat Fallon,Republican,yes,exact,100,Pat Fallon,pat fallon,Pat Fallon,2020,congressional_elections_2020.csv,
"Roberts, Pat",pat roberts,Pat Roberts,Republican,yes,exact,100,Pat Roberts,pat roberts,Pat Roberts,1992,congressional_elections_1992.csv,
"Roberts, Pat",pat roberts,Pat Roberts,Republican,yes,exact,100,Pat Roberts,pat roberts,Pat Roberts,1992,congressional_elections_1992.csv,
"Williams, Pat",pat williams,Pat Williams,Democratic,yes,exact,100,Pat Williams,pat williams,Pat Williams,1992,congressional_elections_1992.csv,
"Murphy, Patrick",patrick murphy,Patrick Murphy,Democratic,yes,exact,100,Patrick Murphy,patrick murphy,Patrick Murphy,2006,congressional_elections_2006.csv,
"Murray, Patty",patty murray,Patty Murray,Democratic,yes,exact,100,Patty Murray,patty murray,Patty Murray,1992,congressional_elections_1992.csv,
"Cook, Paul",paul cook,Paul Cook,Republican,yes,exact,100,Paul Cook,paul cook,Paul Cook,2012,congressional_elections_2012.csv,
"Coverdell, Paul",paul coverdell,Paul Coverdell,Republican,yes,exact,100,Paul Coverdell,paul coverdell,Paul Coverdell,1992,congressional_elections_1992.csv,
"McHale, Paul",paul mchale,Paul Mchale,Democratic,yes,exact,100,Paul McHale,paul mchale,Paul Mchale,1992,congressional_elections_1992.csv,
"Mitchell, Paul",paul mitchell,Paul Mitchell,Independent,yes,exact,100,Paul Mitchell,paul mitchell,Paul Mitchell,2016,congressional_elections_2016.csv,
"Tonko, Paul",paul tonko,Paul Tonko,Democratic,yes,exact,100,Paul Tonko,paul tonko,Paul Tonko,2008,congressional_elections_2008.csv,
"Aguilar, Pete",pete aguilar,Pete Aguilar,Democratic,yes,exact,100,Pete Aguilar,pete aguilar,Pete Aguilar,2014,congressional_elections_2014.csv,
"Domenici, Pete V.",pete domenici,Pete Domenici,Republican,yes,exact,100,"Pete Domenici, Jr.",pete domenici,Pete Domenici,1996,congressional_elections_1996.csv,
"Geren, Pete",pete geren,Pete Geren,Democratic,yes,exact,100,Pete Geren,pete geren,Pete Geren,1992,congressional_elections_1992.csv,
"Olson, Pete",pete olson,Pete Olson,Republican,yes,exact,100,Pete Olson,pete olson,Pete Olson,2008,congressional_elections_2008.csv,
"Ricketts, Pete",pete ricketts,Pete Ricketts,Republican,yes,exact,100,Pete Ricketts,pete ricketts,Pete Ricketts,2006,congressional_elections_2006.csv,
"Sessions, Pete",pete sessions,Pete Sessions,Republican,yes,exact,100,Pete Sessions,pete sessions,Pete Sessions,1994,congressional_elections_1994.csv,
"Sessions, Pete",pete sessions,Pete Sessions,Republican,yes,exact,100,Pete Sessions,pete sessions,Pete Sessions,1994,congressional_elections_1994.csv,
"Barca, Peter",peter barca,Peter Barca,Democratic,yes,exact,100,Peter Barca,peter barca,Peter Barca,1994,congressional_elections_1994.csv,
"Deutsch, Peter",peter deutsch,Peter Deutsch,Democratic,yes,exact,100,Peter Deutsch,peter deutsch,Peter Deutsch,1992,congressional_elections_1992.csv,
"Fitzgerald, Peter",peter fitzgerald,Peter Fitzgerald,Republican,yes,exact,100,Peter Fitzgerald,peter fitzgerald,Peter Fitzgerald,1998,congressional_elections_1998.csv,
"Hoagland, Peter",peter hoagland,Peter Hoagland,Democratic,yes,exact,100,Peter Hoagland,peter hoagland,Peter Hoagland,1992,congressional_elections_1992.csv,
"Meijer, Peter",peter meijer,Peter Meijer,Republican,yes,exact,100,Peter Meijer,peter meijer,Peter Meijer,2020,congressional_elections_2020.csv,
"Welch, Peter",peter welch,Peter Welch,Democratic,yes,exact,100,Peter Welch,peter welch,Peter Welch,2006,congressional_elections_2006.csv,
"Welch, Peter",peter welch,Peter Welch,Democratic,yes,exact,100,Peter Welch,peter welch,Peter Welch,2006,congressional_elections_2006.csv,
"Gingrey, Phil",phil gingrey,Phil Gingrey,Republican,yes,exact,100,Phil Gingrey,phil gingrey,Phil Gingrey,2002,congressional_elections_2002.csv,
"Hare, Phil",phil hare,Phil Hare,Democratic,yes,exact,100,Phil Hare,phil hare,Phil Hare,2006,congressional_elections_2006.csv,
"Jayapal, Pramila",pramila jayapal,Pramila Jayapal,Democratic,yes,exact,100,Pramila Jayapal,pramila jayapal,Pramila Jayapal,2016,congressional_elections_2016.csv,
"Emanuel, Rahm",rahm emanuel,Rahm Emanuel,Democratic,yes,exact,100,Rahm Emanuel,rahm emanuel,Rahm Emanuel,2002,congressional_elections_2002.csv,
"Krishnamoorthi, Raja",raja krishnamoorthi,Raja Krishnamoorthi,Democratic,yes,exact,100,Raja Krishnamoorthi,raja krishnamoorthi,Raja Krishnamoorthi,2016,congressional_elections_2016.csv,
"Norman, Ralph",ralph norman,Ralph Norman,Republican,yes,exact,100,"Ralph Norman, Jr.",ralph norman,Ralph Norman,2006,congressional_elections_2006.csv,
"Regula, Ralph",ralph regula,Ralph Regula,Republican,yes,exact,100,Ralph Regula,ralph regula,Ralph Regula,1992,congressional_elections_1992.csv,
"Paul, Rand",rand paul,Rand Paul,Republican,yes,exact,100,Rand Paul,rand paul,Rand Paul,2010,congressional_elections_2010.csv,
"Feenstra, Randy",randy feenstra,Randy Feenstra,Republican,yes,exact,100,Randy Feenstra,randy feenstra,Randy Feenstra,2020,congressional_elections_2020.csv,
"Fine, Randy",randy fine,Randy Fine,Republican,yes,exact,100,Randy Fine,randy fine,Randy Fine,2025,congressional_elections_2025.csv,
"Hultgren, Randy",randy hultgren,Randy Hultgren,Republican,yes,exact,100,Randy Hultgren,randy hultgren,Randy Hultgren,2010,congressional_elections_2010.csv,
"Neugebauer, Randy",randy neugebauer,Randy Neugebauer,Republican,yes,exact,100,Randy Neugebauer,randy neugebauer,Randy Neugebauer,2003,congressional_elections_2003.csv,
"Tate, Randy",randy tate,Randy Tate,Republican,yes,exact,100,Randy Tate,randy tate,Randy Tate,1994,congressional_elections_1994.csv,
"Tlaib, Rashida",rashida tlaib,Rashida Tlaib,Democratic,yes,exact,100,Rashida Tlaib,rashida tlaib,Rashida Tlaib,2018,congressional_elections_2018.csv,
"Ruiz, Raul",raul ruiz,Raul Ruiz,Democratic,yes,exact,100,Raul Ruiz,raul ruiz,Raul Ruiz,2012,congressional_elections_2012.csv,
"LaHood, Ray",ray lahood,Ray Lahood,Republican,yes,exact,100,Ray LaHood,ray lahood,Ray Lahood,1994,congressional_elections_1994.csv,
"Thornton, Ray",ray thornton,Ray Thornton,Democratic,yes,exact,100,Ray Thornton,ray thornton,Ray Thornton,1992,congressional_elections_1992.csv,
"Thornton, Ray",ray thornton,Ray Thornton,Democratic,yes,exact,100,Ray Thornton,ray thornton,Ray Thornton,1992,congressional_elections_1992.csv,
"Blumenthal, Richard",richard blumenthal,Richard Blumenthal,Democratic,yes,exact,100,Richard Blumenthal,richard blumenthal,Richard Blumenthal,2010,congressional_elections_2010.csv,
"Burr, Richard",richard burr,Richard Burr,Republican,yes,exact,100,Richard Burr,richard burr,Richard Burr,1992,congressional_elections_1992.csv,
"Burr, Richard",richard burr,Richard Burr,Republican,yes,exact,100,Richard Burr,richard burr,Richard Burr,1992,congressional_elections_1992.csv,
"Hudson, Richard",richard hudson,Richard Hudson,Republican,yes,exact,100,"Richard Hudson, Jr.",richard hudson,Richard Hudson,2012,congressional_elections_2012.csv,
"Kelly, Richard",richard kelly,Richard Kelly,Republican,yes,exact,100,Richard Kelly,richard kelly,Richard Kelly,2010,congressional_elections_2010.csv,
"McCormick, Richard",richard mccormick,Richard Mccormick,Republican,yes,exact,100,Richard McCormick,richard mccormick,Richard Mccormick,2020,congressional_elections_2020.csv,
"Berg, Rick",rick berg,Rick Berg,Republican,yes,exact,100,Rick Berg,rick berg,Rick Berg,2010,congressional_elections_2010.csv,
"Boucher, Rick",rick boucher,Rick Boucher,Democratic,yes,exact,100,Rick Boucher,rick boucher,Rick Boucher,1992,congressional_elections_1992.csv,
"Hill, Rick",rick hill,Rick Hill,Republican,yes,exact,100,Rick Hill,rick hill,Rick Hill,1996,congressional_elections_1996.csv,
"Larsen, Rick",rick larsen,Rick Larsen,Democratic,yes,exact,100,Rick Larsen,rick larsen,Rick Larsen,2000,congressional_elections_2000.csv,
"Lazio, Rick",rick lazio,Rick Lazio,Republican,yes,exact,100,Rick Lazio,rick lazio,Rick Lazio,1992,congressional_elections_1992.csv,
"Santorum, Rick",rick santorum,Rick Santorum,Republican,yes,exact,100,Rick Santorum,rick santorum,Rick Santorum,1992,congressional_elections_1992.csv,
"Santorum, Rick",rick santorum,Rick Santorum,Republican,yes,exact,100,Rick Santorum,rick santorum,Rick Santorum,1992,congressional_elections_1992.csv,
"Scott, Rick",rick scott,Rick Scott,Republican,yes,exact,100,Rick Scott,rick scott,Rick Scott,2018,congressional_elections_2018.csv,
"White, Rick",rick white,Rick White,Republican,yes,exact,100,Rick White,rick white,Rick White,1994,congressional_elections_1994.csv,
"Torres, Ritchie",ritchie torres,Ritchie Torres,Democratic,yes,exact,100,Ritchie Torres,ritchie torres,Ritchie Torres,2020,congressional_elections_2020.csv,
"Khanna, Ro",ro khanna,Ro Khanna,Democratic,yes,exact,100,Ro Khanna,ro khanna,Ro Khanna,2014,congressional_elections_2014.csv,
"Bishop, Rob",rob bishop,Rob Bishop,Republican,yes,exact,100,Rob Bishop,rob bishop,Rob Bishop,2002,congressional_elections_2002.csv,
"Portman, Rob",rob portman,Rob Portman,Republican,yes,exact,100,Rob Portman,rob portman,Rob Portman,1994,congressional_elections_1994.csv,
"Portman, Rob",rob portman,Rob Portman,Republican,yes,exact,100,Rob Portman,rob portman,Rob Portman,1994,congressional_elections_1994.csv,
"Woodall, Rob",rob woodall,Rob Woodall,Republican,yes,exact,100,Rob Woodall,rob woodall,Rob Woodall,2010,congressional_elections_2010.csv,
"Garcia, Robert",robert garcia,Robert Garcia,Democratic,yes,exact,100,Robert Garcia,robert garcia,Robert Garcia,2022,congressional_elections_2022.csv,
"Garcia, Robert",robert garcia,Robert Garcia,Democratic,yes,exact,100,Robert Garcia,robert garcia,Robert Garcia,2022,congressional_elections_2022.csv,
"Hurt, Robert",robert hurt,Robert Hurt,Republican,yes,exact,100,Robert Hurt,robert hurt,Robert Hurt,2010,congressional_elections_2010.csv,
"Pittenger, Robert",robert pittenger,Robert Pittenger,Republican,yes,exact,100,Robert Pittenger,robert pittenger,Robert Pittenger,2012,congressional_elections_2012.csv,
"Smith, Robert",robert smith,Robert Smith,Republican,yes,exact,100,Robert Smith,robert smith,Robert Smith,1992,congressional_elections_1992.csv,
"Smith, Robert",robert smith,Robert Smith,Republican,yes,exact,100,Robert Smith,robert smith,Robert Smith,1992,congressional_elections_1992.csv,
"Wexler, Robert",robert wexler,Robert Wexler,Democratic,yes,exact,100,Robert Wexler,robert wexler,Robert Wexler,1996,congressional_elections_1996.csv,
"Blum, Rod",rod blum,Rod Blum,Republican,yes,exact,100,Rod Blum,rod blum,Rod Blum,2014,congressional_elections_2014.csv,
"Alexander, Rodney",rodney alexander,Rodney Alexander,Republican,yes,exact,100,Rodney Alexander,rodney alexander,Rodney Alexander,2002,congressional_elections_2002.csv,
"Davis, Rodney",rodney davis,Rodney Davis,Republican,yes,exact,100,Rodney Davis,rodney davis,Rodney Davis,2012,congressional_elections_2012.csv,
"Marshall, Roger",roger marshall,Roger Marshall,Republican,yes,exact,100,Roger Marshall,roger marshall,Roger Marshall,2016,congressional_elections_2016.csv,
"Marshall, Roger",roger marshall,Roger Marshall,Republican,yes,exact,100,Roger Marshall,roger marshall,Roger Marshall,2016,congressional_elections_2016.csv,
"Williams, Roger",roger williams,Roger Williams,Republican,yes,exact,100,Roger Williams,roger williams,Roger Williams,2012,congressional_elections_2012.csv,
"Barber, Ron",ron barber,Ron Barber,Democratic,yes,exact,100,Ron Barber,ron barber,Ron Barber,2012,congressional_elections_2012.csv,
"de Lugo, Ron",ron de lugo,Ron De Lugo,Democratic,yes,exact,100,Ron De Lugo,ron de lugo,Ron De Lugo,1992,congressional_elections_1992.csv,
"de Lugo, Ron",ron de lugo,Ron De Lugo,Democratic,yes,exact,100,Ron De Lugo,ron de lugo,Ron De Lugo,1992,congressional_elections_1992.csv,
"DeSantis, Ron",ron desantis,Ron Desantis,Republican,yes,exact,100,Ron DeSantis,ron desantis,Ron Desantis,2012,congressional_elections_2012.csv,
"Estes, Ron",ron estes,Ron Estes,Republican,yes,exact,100,Ron Estes,ron estes,Ron Estes,2017,congressional_elections_2017.csv,
"Johnson, Ron",ron johnson,Ron Johnson,Republican,yes,exact,100,Ron Johnson,ron johnson,Ron Johnson,2010,congressional_elections_2010.csv,
"Kind, Ron",ron kind,Ron Kind,Democratic,yes,exact,100,Ron Kind,ron kind,Ron Kind,1996,congressional_elections_1996.csv,
"Klein, Ron",ron klein,Ron Klein,Democratic,yes,exact,100,Ron Klein,ron klein,Ron Klein,2006,congressional_elections_2006.csv,
"Lewis, Ron",ron lewis,Ron Lewis,Republican,yes,exact,100,Ron Lewis,ron lewis,Ron Lewis,1994,congressional_elections_1994.csv,
"Marlenee, Ron",ron marlenee,Ron Marlenee,Republican,yes,exact,100,Ron Marlenee,ron marlenee,Ron Marlenee,1992,congressional_elections_1992.csv,
"Paul, Ron",ron paul,Ron Paul,Republican,yes,exact,100,Ron Paul,ron paul,Ron Paul,1996,congressional_elections_1996.csv,
"Paul, Ron",ron paul,Ron Paul,Republican,yes,exact,100,Ron Paul,ron paul,Ron Paul,1996,congressional_elections_1996.csv,
"Paul, Ron",ron paul,Ron Paul,Republican,yes,exact,100,Ron Paul,ron paul,Ron Paul,1996,congressional_elections_1996.csv,
"Wright, Ron",ron wright,Ron Wright,Republican,yes,exact,100,Ron Wright,ron wright,Ron Wright,2018,congressional_elections_2018.csv,
"Wyden, Ron",ron wyden,Ron Wyden,Democratic,yes,exact,100,Ron Wyden,ron wyden,Ron Wyden,1992,congressional_elections_1992.csv,
"Wyden, Ron",ron wyden,Ron Wyden,Democratic,yes,exact,100,Ron Wyden,ron wyden,Ron Wyden,1992,congressional_elections_1992.csv,
"Dellums, Ronald V.",ronald dellums,Ronald Dellums,Democratic,yes,exact,100,Ronald Dellums,ronald dellums,Ronald Dellums,1992,congressional_elections_1992.csv,
"Shows, Ronnie",ronnie shows,Ronnie Shows,Democratic,yes,exact,100,Ronnie Shows,ronnie shows,Ronnie Shows,1998,congressional_elections_1998.csv,
"Jackson, Ronny",ronny jackson,Ronny Jackson,Republican,yes,exact,100,Ronny Jackson,ronny jackson,Ronny Jackson,2020,congressional_elections_2020.csv,
"Spano, Ross",ross spano,Ross Spano,Republican,yes,exact,100,Ross Spano,ross spano,Ross Spano,2018,congressional_elections_2018.csv,
"Blunt, Roy",roy blunt,Roy Blunt,Republican,yes,exact,100,Roy Blunt,roy blunt,Roy Blunt,1996,congressional_elections_1996.csv,
"Blunt, Roy",roy blunt,Roy Blunt,Republican,yes,exact,100,Roy Blunt,roy blunt,Roy Blunt,1996,congressional_elections_1996.csv,
"Gallego, Ruben",ruben gallego,Ruben Gallego,Democratic,yes,exact,100,Ruben Gallego,ruben gallego,Ruben Gallego,2014,congressional_elections_2014.csv,
"Gallego, Ruben",ruben gallego,Ruben Gallego,Democratic,yes,exact,100,Ruben Gallego,ruben gallego,Ruben Gallego,2014,congressional_elections_2014.csv,
"Boschwitz, Rudy",rudy boschwitz,Rudy Boschwitz,Republican,yes,exact,100,Rudy Boschwitz,rudy boschwitz,Rudy Boschwitz,1996,congressional_elections_1996.csv,
"Yakym, Rudy",rudy yakym,Rudy Yakym,Republican,yes,exact,100,Rudy Yakym III,rudy yakym,Rudy Yakym,2022,congressional_elections_2022.csv,
"Holt, Rush",rush holt,Rush Holt,Democratic,yes,exact,100,"Rush Holt, Jr.",rush holt,Rush Holt,1998,congressional_elections_1998.csv,
"Carnahan, Russ",russ carnahan,Russ Carnahan,Democratic,yes,exact,100,Russ Carnahan,russ carnahan,Russ Carnahan,2004,congressional_elections_2004.csv,
